"MSD","taus","experiment"
0.0033574888903377,0.21,"SIM_84"
0.00550361757434545,0.42,"SIM_84"
0.00660801119079196,0.63,"SIM_84"
0.00763243010205939,0.84,"SIM_84"
0.00889625897783086,1.05,"SIM_84"
0.00961229993774897,1.26,"SIM_84"
0.0100907100005781,1.47,"SIM_84"
0.0104240488791519,1.68,"SIM_84"
0.0111185840698496,1.89,"SIM_84"
0.0118461124758632,2.1,"SIM_84"
0.0123163220686698,2.31,"SIM_84"
0.0123748928857944,2.52,"SIM_84"
0.0123010948765068,2.73,"SIM_84"
0.0121459086473016,2.94,"SIM_84"
0.0125547096990523,3.15,"SIM_84"
0.0127492579666349,3.36,"SIM_84"
0.0127004158026781,3.57,"SIM_84"
0.0125113116920418,3.78,"SIM_84"
0.0127761263265281,3.99,"SIM_84"
0.0134193817952354,4.2,"SIM_84"
0.0138721705997967,4.41,"SIM_84"
0.0143449147209446,4.62,"SIM_84"
0.0151852837009676,4.83,"SIM_84"
0.0155945437319631,5.04,"SIM_84"
0.0151601488216656,5.25,"SIM_84"
0.015277494837119,5.46,"SIM_84"
0.0155081724178132,5.67,"SIM_84"
0.0157602027985472,5.88,"SIM_84"
0.0159938093912637,6.09,"SIM_84"
0.0164621807119167,6.3,"SIM_84"
0.0171570957839653,6.51,"SIM_84"
0.017468043444546,6.72,"SIM_84"
0.0180466011664144,6.93,"SIM_84"
0.0187497108377728,7.14,"SIM_84"
0.0191301486946823,7.35,"SIM_84"
0.0197391760288448,7.56,"SIM_84"
0.0201547301393269,7.77,"SIM_84"
0.0197160474778381,7.98,"SIM_84"
0.0192918591648911,8.19,"SIM_84"
0.0197046892633382,8.4,"SIM_84"
0.0202488842551455,8.61,"SIM_84"
0.0202858952659933,8.82,"SIM_84"
0.0202286482907455,9.03,"SIM_84"
0.0203013998985652,9.24,"SIM_84"
0.0206397742448326,9.45,"SIM_84"
0.0207208275509688,9.66,"SIM_84"
0.0207010480881697,9.87,"SIM_84"
0.0206321924946264,10.08,"SIM_84"
0.0203815326598628,10.29,"SIM_84"
0.0203165380748254,10.5,"SIM_84"
0.0202375395112617,10.71,"SIM_84"
0.0199677320361455,10.92,"SIM_84"
0.0201575195005133,11.13,"SIM_84"
0.019800234775988,11.34,"SIM_84"
0.0198245178949145,11.55,"SIM_84"
0.0193636002776089,11.76,"SIM_84"
0.0185218193033872,11.97,"SIM_84"
0.0182119275022074,12.18,"SIM_84"
0.0176843447696897,12.39,"SIM_84"
0.0172589624566564,12.6,"SIM_84"
0.0171475450782011,12.81,"SIM_84"
0.0168167576429028,13.02,"SIM_84"
0.016352445015872,13.23,"SIM_84"
0.0163715491810585,13.44,"SIM_84"
0.0160890674912121,13.65,"SIM_84"
0.0160576941262902,13.86,"SIM_84"
0.0159136606294619,14.07,"SIM_84"
0.015547755542943,14.28,"SIM_84"
0.0150915138692315,14.49,"SIM_84"
0.015103726935062,14.7,"SIM_84"
0.0151628172965464,14.91,"SIM_84"
0.0154068471948338,15.12,"SIM_84"
0.0156563294830373,15.33,"SIM_84"
0.0152477111235392,15.54,"SIM_84"
0.0142340327059286,15.75,"SIM_84"
0.0137609777657518,15.96,"SIM_84"
0.0131624114016336,16.17,"SIM_84"
0.0128812536562526,16.38,"SIM_84"
0.0131333856863187,16.59,"SIM_84"
0.0134448484863238,16.8,"SIM_84"
0.0138621392354498,17.01,"SIM_84"
0.0137466537365983,17.22,"SIM_84"
0.013305423186769,17.43,"SIM_84"
0.0130114390649739,17.64,"SIM_84"
0.0126134550421002,17.85,"SIM_84"
0.0119417344343918,18.06,"SIM_84"
0.0122162472840873,18.27,"SIM_84"
0.0123722762607783,18.48,"SIM_84"
0.0123547568847614,18.69,"SIM_84"
0.0124330853644228,18.9,"SIM_84"
0.0124359606280221,19.11,"SIM_84"
0.0129421887295853,19.32,"SIM_84"
0.0132806147866563,19.53,"SIM_84"
0.0133486897548918,19.74,"SIM_84"
0.0135786225918819,19.95,"SIM_84"
0.0147323137799799,20.16,"SIM_84"
0.0155411293428565,20.37,"SIM_84"
0.0156283154795065,20.58,"SIM_84"
0.0158665284821649,20.79,"SIM_84"
0.0169809385931278,21,"SIM_84"
