"MSD","taus","experiment"
0.00637783430377652,0.21,"SIM_87"
0.00868092904274688,0.42,"SIM_87"
0.0109931389445622,0.63,"SIM_87"
0.0131805804853447,0.84,"SIM_87"
0.0154320847140459,1.05,"SIM_87"
0.0170671539817804,1.26,"SIM_87"
0.0173917008381366,1.47,"SIM_87"
0.0181349572289186,1.68,"SIM_87"
0.0177938356354014,1.89,"SIM_87"
0.018024954011892,2.1,"SIM_87"
0.0178810103323728,2.31,"SIM_87"
0.0181571633030502,2.52,"SIM_87"
0.0191263510913181,2.73,"SIM_87"
0.0206551919401085,2.94,"SIM_87"
0.0216847867890206,3.15,"SIM_87"
0.0224686258085494,3.36,"SIM_87"
0.0235647742416747,3.57,"SIM_87"
0.0241188028719355,3.78,"SIM_87"
0.0245352854064302,3.99,"SIM_87"
0.0244510008858894,4.2,"SIM_87"
0.0248907300589442,4.41,"SIM_87"
0.024081348232652,4.62,"SIM_87"
0.0242343500021735,4.83,"SIM_87"
0.0247722536079517,5.04,"SIM_87"
0.0250793889371554,5.25,"SIM_87"
0.0254269802546297,5.46,"SIM_87"
0.0252171218986232,5.67,"SIM_87"
0.0259273575467807,5.88,"SIM_87"
0.0257044481442003,6.09,"SIM_87"
0.0257479056597836,6.3,"SIM_87"
0.0264616842381466,6.51,"SIM_87"
0.0266694005433569,6.72,"SIM_87"
0.026591129375274,6.93,"SIM_87"
0.0273307106991039,7.14,"SIM_87"
0.0289678461487608,7.35,"SIM_87"
0.0292060977753827,7.56,"SIM_87"
0.0299541146470709,7.77,"SIM_87"
0.0301041347390777,7.98,"SIM_87"
0.0304009880608965,8.19,"SIM_87"
0.0305245739605843,8.4,"SIM_87"
0.0309099899189021,8.61,"SIM_87"
0.0303794099699693,8.82,"SIM_87"
0.0304515151834312,9.03,"SIM_87"
0.0301981865758079,9.24,"SIM_87"
0.0298904156836349,9.45,"SIM_87"
0.03045451389401,9.66,"SIM_87"
0.0312281654817697,9.87,"SIM_87"
0.0311429352796109,10.08,"SIM_87"
0.0312657790543897,10.29,"SIM_87"
0.0321762252669143,10.5,"SIM_87"
0.0328293255866913,10.71,"SIM_87"
0.0320255368843474,10.92,"SIM_87"
0.0317184210550041,11.13,"SIM_87"
0.0310389697431406,11.34,"SIM_87"
0.0308948485600671,11.55,"SIM_87"
0.0302594527553166,11.76,"SIM_87"
0.0308087439992924,11.97,"SIM_87"
0.0312859891914039,12.18,"SIM_87"
0.0324429220151592,12.39,"SIM_87"
0.0325667180497145,12.6,"SIM_87"
0.0324797774169729,12.81,"SIM_87"
0.0340781859736785,13.02,"SIM_87"
0.0342419873469768,13.23,"SIM_87"
0.0346346378676475,13.44,"SIM_87"
0.0345472187085651,13.65,"SIM_87"
0.0349061439177748,13.86,"SIM_87"
0.035024635946031,14.07,"SIM_87"
0.0365280336750769,14.28,"SIM_87"
0.037360770200935,14.49,"SIM_87"
0.0380345221686261,14.7,"SIM_87"
0.0397246393186729,14.91,"SIM_87"
0.0402054534125453,15.12,"SIM_87"
0.0410220949692241,15.33,"SIM_87"
0.0421420804779726,15.54,"SIM_87"
0.0433222973816297,15.75,"SIM_87"
0.0447359631587672,15.96,"SIM_87"
0.0471097474845658,16.17,"SIM_87"
0.0481448975097051,16.38,"SIM_87"
0.0498135236304358,16.59,"SIM_87"
0.0512212301674857,16.8,"SIM_87"
0.0520729147234303,17.01,"SIM_87"
0.0524241352332247,17.22,"SIM_87"
0.052986609786231,17.43,"SIM_87"
0.0540275713891517,17.64,"SIM_87"
0.0545188999012777,17.85,"SIM_87"
0.0550512416139236,18.06,"SIM_87"
0.0565372270663855,18.27,"SIM_87"
0.0574729307446053,18.48,"SIM_87"
0.0590770657434155,18.69,"SIM_87"
0.0603929674604818,18.9,"SIM_87"
0.0617370377514702,19.11,"SIM_87"
0.0630969481269365,19.32,"SIM_87"
0.0636254829374978,19.53,"SIM_87"
0.0646125713160868,19.74,"SIM_87"
0.0653713878162699,19.95,"SIM_87"
0.0651224477936645,20.16,"SIM_87"
0.0652750574720177,20.37,"SIM_87"
0.0662613159919794,20.58,"SIM_87"
0.0679174796969188,20.79,"SIM_87"
0.0687804094308977,21,"SIM_87"
