locus_radius:0.01,nuclear_radius:1.0,bound_zone_thickness:0.18350341907227397,bound_to_bound:0.7,unbound_to_bound:0.9,dt:0.5,
URA3_FLE_BINDING_COLLISIONrestep
X,Y,is_bound
-0.7357013488373692,-0.4903647781070912,1
-0.7010521681794034,-0.5043559159864373,1
-0.7022287667437325,-0.5030190428213397,0
-0.678869760040881,-0.49312041275358953,1
-0.6909217967768033,-0.4696337298956137,1
-0.7039095779491956,-0.49496650455234387,1
-0.713652149093016,-0.4751450093346267,1
-0.7142047465191564,-0.5174634447045733,0
-0.6207984075705485,-0.4806184298789949,0
-0.6233663842944116,-0.5181015881565193,1
-0.6284124209204296,-0.5195717310810055,1
-0.5935572597910678,-0.5518316360193687,1
-0.6180524939687153,-0.5861250979688144,1
-0.6566585484173858,-0.5461762910382071,0
-0.706480349676045,-0.547671782192423,1
-0.7033435978941929,-0.5371639543874813,1
-0.685726142389917,-0.5430638478344638,1
-0.6959471884848907,-0.5000989827315987,1
-0.7038254317163718,-0.4880600169115383,1
-0.6715987325118984,-0.5017367311030393,1
-0.6820886442568165,-0.5262209209833826,0
-0.7439125699962127,-0.5965265459793145,1
-0.7197169287308686,-0.49279459339013465,1
-0.6968421169053653,-0.5464269281941024,0
-0.6934774880799027,-0.6441271226100608,1
-0.6960564269778433,-0.6209300678296695,1
-0.7321517228250247,-0.6239845487462286,1
-0.7078394436803316,-0.6181314120198438,0
-0.611580653415484,-0.5334425331445036,1
-0.6047076486878111,-0.5908187427514854,1
-0.603682682108319,-0.5693646783610817,1
-0.6149794160966174,-0.5721723616661204,0
-0.5384645959318018,-0.5317183943679934,0
-0.6564787754921737,-0.6228126564801573,0
-0.6666182400500622,-0.6808233888254742,1
-0.6258998204318079,-0.6552353222526351,1
-0.6374166122812791,-0.6417783396121034,1
-0.694223929574206,-0.6468008739731098,0
-0.5988651307493273,-0.7167969854594712,1
-0.5799554383652021,-0.7077549921365233,1
-0.5669961367040549,-0.6676615942653543,0
-0.5631068328655553,-0.7208815426136618,1
-0.5715398263146302,-0.7358425820635333,0
-0.5731942215289478,-0.6681852612432253,1
-0.5491366737264916,-0.6541145280489731,1
-0.6110757357965406,-0.6724124074031933,0
-0.566006968007601,-0.6262819891416407,1
-0.5986644188571971,-0.6474535862309795,0
-0.6272438021366786,-0.5560295139652828,1
-0.6277416136398778,-0.5965967574284033,1
-0.6125398527739899,-0.5861165713217974,1
-0.655726228928098,-0.5694445216966535,1
-0.6182855750348436,-0.6018246229787628,0
