,MSD,taus,experiment
1,0.00284329404207693,0.21,SIM_1
2,0.00391786746367984,0.42,SIM_1
3,0.00481776575088338,0.63,SIM_1
4,0.00567261679782152,0.84,SIM_1
5,0.00624527199370666,1.05,SIM_1
6,0.00650058024130256,1.26,SIM_1
7,0.00676846592175013,1.47,SIM_1
8,0.00674210730904029,1.68,SIM_1
9,0.00667962081186149,1.89,SIM_1
10,0.00684704061971517,2.1,SIM_1
11,0.0069901800079414,2.31,SIM_1
12,0.00724463289397304,2.52,SIM_1
13,0.00702102977557108,2.73,SIM_1
14,0.00732407009003005,2.94,SIM_1
15,0.00725604829793268,3.15,SIM_1
16,0.00744837309390361,3.36,SIM_1
17,0.00779687707746145,3.57,SIM_1
18,0.00819604609705307,3.78,SIM_1
19,0.00852583168002128,3.99,SIM_1
20,0.00900076310719187,4.2,SIM_1
21,0.00912294023592502,4.41,SIM_1
22,0.00911247680651894,4.62,SIM_1
23,0.00950275910535164,4.83,SIM_1
24,0.0096987195683203,5.04,SIM_1
25,0.0101841984848047,5.25,SIM_1
26,0.0102606228200774,5.46,SIM_1
27,0.0107538335331284,5.67,SIM_1
28,0.0113102062692188,5.88,SIM_1
29,0.0118967310881719,6.09,SIM_1
30,0.0120101452044316,6.3,SIM_1
31,0.0125896445132877,6.51,SIM_1
32,0.0126512934815006,6.72,SIM_1
33,0.0129314113734713,6.93,SIM_1
34,0.0130520493524744,7.14,SIM_1
35,0.0130542935888482,7.35,SIM_1
36,0.0132126468717689,7.56,SIM_1
37,0.0136183247291197,7.77,SIM_1
38,0.0138775957325904,7.98,SIM_1
39,0.0141118241240839,8.19,SIM_1
40,0.0147762360046214,8.4,SIM_1
41,0.0150638606465067,8.61,SIM_1
42,0.01502160093894,8.82,SIM_1
43,0.0152497113084684,9.03,SIM_1
44,0.0153221033940164,9.24,SIM_1
45,0.0151806049617556,9.45,SIM_1
46,0.0152876259230249,9.66,SIM_1
47,0.0153843740837121,9.87,SIM_1
48,0.0153729387140906,10.08,SIM_1
49,0.0150223734356088,10.29,SIM_1
50,0.0154078947743229,10.5,SIM_1
51,0.0157044873170284,10.71,SIM_1
52,0.015630228263829,10.92,SIM_1
53,0.0162715764598734,11.13,SIM_1
54,0.0173642860799719,11.34,SIM_1
55,0.0172975695054902,11.55,SIM_1
56,0.0176761734586043,11.76,SIM_1
57,0.017803730781243,11.97,SIM_1
58,0.018324369143636,12.18,SIM_1
59,0.0184453738952222,12.39,SIM_1
60,0.0186308688779526,12.6,SIM_1
61,0.0186681173919245,12.81,SIM_1
62,0.0189366123309644,13.02,SIM_1
63,0.0192188795028007,13.23,SIM_1
64,0.0195760561560735,13.44,SIM_1
65,0.0195162979568285,13.65,SIM_1
66,0.019821759513917,13.86,SIM_1
67,0.0203794552267653,14.07,SIM_1
68,0.0204579039597964,14.28,SIM_1
69,0.0210280326026569,14.49,SIM_1
70,0.0212385613412767,14.7,SIM_1
71,0.0211699772130618,14.91,SIM_1
72,0.0213902057134259,15.12,SIM_1
73,0.0220629120326944,15.33,SIM_1
74,0.0220054425411753,15.54,SIM_1
75,0.02262407561872,15.75,SIM_1
76,0.0226751738408146,15.96,SIM_1
77,0.0228612924242088,16.17,SIM_1
78,0.0230394882292623,16.38,SIM_1
79,0.0231031246528394,16.59,SIM_1
80,0.0236197666878716,16.8,SIM_1
81,0.0240792231489841,17.01,SIM_1
82,0.0249843324534035,17.22,SIM_1
83,0.0246537151448624,17.43,SIM_1
84,0.0251593374233559,17.64,SIM_1
85,0.025540120461979,17.85,SIM_1
86,0.0255864148171021,18.06,SIM_1
87,0.0254300160607543,18.27,SIM_1
88,0.0251193889897311,18.48,SIM_1
89,0.0257127833842606,18.69,SIM_1
90,0.0263085993563379,18.9,SIM_1
91,0.0265174266906159,19.11,SIM_1
92,0.0268904880185468,19.32,SIM_1
93,0.027186752797941,19.53,SIM_1
94,0.0271494762009654,19.74,SIM_1
95,0.0271775392621121,19.95,SIM_1
96,0.0273736332534765,20.16,SIM_1
97,0.028170193270419,20.37,SIM_1
98,0.028505417765141,20.58,SIM_1
99,0.0290062512013701,20.79,SIM_1
100,0.0289828821068434,21,SIM_1
101,0.00526723056110876,0.21,SIM_10
102,0.00762537557276718,0.42,SIM_10
103,0.00899359694032073,0.63,SIM_10
104,0.0102493454622394,0.84,SIM_10
105,0.0111509126716737,1.05,SIM_10
106,0.0124580141468874,1.26,SIM_10
107,0.013377719768245,1.47,SIM_10
108,0.0149339928533066,1.68,SIM_10
109,0.0157939883920091,1.89,SIM_10
110,0.0165043813910641,2.1,SIM_10
111,0.0170562512794374,2.31,SIM_10
112,0.0182612794888184,2.52,SIM_10
113,0.0191198206392264,2.73,SIM_10
114,0.0212526167468182,2.94,SIM_10
115,0.0222138168112463,3.15,SIM_10
116,0.0225530927143269,3.36,SIM_10
