,MSD,taus,experiment
1,0.00787366854461143,0.21,SIM_1
2,0.0103041711857602,0.42,SIM_1
3,0.0124481056384727,0.63,SIM_1
4,0.0145755801021397,0.84,SIM_1
5,0.0163156481558239,1.05,SIM_1
6,0.0172115214462111,1.26,SIM_1
7,0.0180224375927023,1.47,SIM_1
8,0.0196597024355022,1.68,SIM_1
9,0.0222045894782644,1.89,SIM_1
10,0.0239297624256674,2.1,SIM_1
11,0.0260525194160467,2.31,SIM_1
12,0.0279720873824908,2.52,SIM_1
13,0.0300411632062791,2.73,SIM_1
14,0.0316312098911661,2.94,SIM_1
15,0.0336994277652347,3.15,SIM_1
16,0.0360564878565932,3.36,SIM_1
17,0.0392829979187389,3.57,SIM_1
18,0.0401952014069023,3.78,SIM_1
19,0.0434527110964138,3.99,SIM_1
20,0.0451302580778119,4.2,SIM_1
21,0.0474342853306992,4.41,SIM_1
22,0.0490368106882149,4.62,SIM_1
23,0.0502392053723222,4.83,SIM_1
24,0.050531514334887,5.04,SIM_1
25,0.051634060050666,5.25,SIM_1
26,0.0511640511989624,5.46,SIM_1
27,0.0530844528567047,5.67,SIM_1
28,0.0550516194801186,5.88,SIM_1
29,0.0580814351876104,6.09,SIM_1
30,0.0584093533343798,6.3,SIM_1
31,0.0596626972695481,6.51,SIM_1
32,0.0597600908180215,6.72,SIM_1
33,0.061334929140773,6.93,SIM_1
34,0.0621352143678538,7.14,SIM_1
35,0.0645000850615173,7.35,SIM_1
36,0.0660917060126411,7.56,SIM_1
37,0.067057008692929,7.77,SIM_1
38,0.0672650874757321,7.98,SIM_1
39,0.0682242145747158,8.19,SIM_1
40,0.0692417291096271,8.4,SIM_1
41,0.0708989606385079,8.61,SIM_1
42,0.0725700032434421,8.82,SIM_1
43,0.0747795730166921,9.03,SIM_1
44,0.0756965075149915,9.24,SIM_1
45,0.0764698285532824,9.45,SIM_1
46,0.0761623276649158,9.66,SIM_1
47,0.0765074996316707,9.87,SIM_1
48,0.0766971517941142,10.08,SIM_1
49,0.0785503648877318,10.29,SIM_1
50,0.078896752675087,10.5,SIM_1
51,0.0806476042072426,10.71,SIM_1
52,0.0814971062246146,10.92,SIM_1
53,0.0824862418922118,11.13,SIM_1
54,0.0840123102133293,11.34,SIM_1
55,0.0848475123580936,11.55,SIM_1
56,0.0861561091001707,11.76,SIM_1
57,0.0879435767819144,11.97,SIM_1
58,0.0891780267433072,12.18,SIM_1
59,0.0905858701260108,12.39,SIM_1
60,0.0900444511406096,12.6,SIM_1
61,0.0914771424699023,12.81,SIM_1
62,0.092076129509942,13.02,SIM_1
63,0.093666546772919,13.23,SIM_1
64,0.094445455025599,13.44,SIM_1
65,0.0954225553414678,13.65,SIM_1
66,0.0975893253428315,13.86,SIM_1
67,0.0989650310672748,14.07,SIM_1
68,0.102113905203672,14.28,SIM_1
69,0.105787414019686,14.49,SIM_1
70,0.107594616625802,14.7,SIM_1
71,0.109082262607227,14.91,SIM_1
72,0.109884899834824,15.12,SIM_1
73,0.110031256044837,15.33,SIM_1
74,0.110495714259189,15.54,SIM_1
75,0.111946708744908,15.75,SIM_1
76,0.112730891920515,15.96,SIM_1
77,0.115232319768304,16.17,SIM_1
78,0.115096612005621,16.38,SIM_1
79,0.116167503314273,16.59,SIM_1
80,0.117752544661319,16.8,SIM_1
81,0.118411261933536,17.01,SIM_1
82,0.118031630390871,17.22,SIM_1
83,0.119630724389001,17.43,SIM_1
84,0.121247612914723,17.64,SIM_1
85,0.121154536656707,17.85,SIM_1
86,0.121695524314619,18.06,SIM_1
87,0.121614299882038,18.27,SIM_1
88,0.12219571345333,18.48,SIM_1
89,0.122363319907995,18.69,SIM_1
90,0.121504760535174,18.9,SIM_1
91,0.121284111848655,19.11,SIM_1
92,0.120974572534336,19.32,SIM_1
93,0.119655400132797,19.53,SIM_1
94,0.119481404622496,19.74,SIM_1
95,0.120186424702571,19.95,SIM_1
96,0.120507132767476,20.16,SIM_1
97,0.118482906746254,20.37,SIM_1
98,0.116598997103904,20.58,SIM_1
99,0.114645873142914,20.79,SIM_1
100,0.11207403811664,21,SIM_1
101,0.00630002774090159,0.21,SIM_10
102,0.00964706404108153,0.42,SIM_10
103,0.0121923677309278,0.63,SIM_10
104,0.0127351477486879,0.84,SIM_10
105,0.0138984182290531,1.05,SIM_10
106,0.0156432689406139,1.26,SIM_10
107,0.0171287882241424,1.47,SIM_10
108,0.0181413304422627,1.68,SIM_10
109,0.0189373867547715,1.89,SIM_10
110,0.0197500550824225,2.1,SIM_10
111,0.0193254936475254,2.31,SIM_10
112,0.0201278235295999,2.52,SIM_10
113,0.0204887866740483,2.73,SIM_10
114,0.0209552814869172,2.94,SIM_10
115,0.02124755325737,3.15,SIM_10
116,0.0221844794932624,3.36,SIM_10
117,0.0228416480151033,3.57,SIM_10
118,0.0233601404927836,3.78,SIM_10
119,0.0241161596021649,3.99,SIM_10
120,0.0249136890208553,4.2,SIM_10
121,0.0256608556217327,4.41,SIM_10
122,0.0253966605469472,4.62,SIM_10
123,0.0254720007728943,4.83,SIM_10
124,0.0248424434940783,5.04,SIM_10
125,0.0249120938815367,5.25,SIM_10
126,0.0247076775430013,5.46,SIM_10
127,0.0246111544222662,5.67,SIM_10
128,0.0240695283262988,5.88,SIM_10
129,0.0245184502233881,6.09,SIM_10
130,0.0250429379962603,6.3,SIM_10
131,0.0248797545717692,6.51,SIM_10
132,0.0244785987796405,6.72,SIM_10
133,0.0233208341797459,6.93,SIM_10
134,0.0234454657467791,7.14,SIM_10
135,0.0236490378822885,7.35,SIM_10
136,0.0241830730461717,7.56,SIM_10
137,0.0247394725693918,7.77,SIM_10
138,0.0245335742915175,7.98,SIM_10
139,0.0249197152121373,8.19,SIM_10
140,0.0254333118541854,8.4,SIM_10
141,0.026118969698004,8.61,SIM_10
142,0.0257466802024033,8.82,SIM_10
143,0.0260748378849611,9.03,SIM_10
144,0.0258254894478217,9.24,SIM_10
145,0.0262217837791106,9.45,SIM_10
146,0.0262470693435395,9.66,SIM_10
147,0.0268436340652939,9.87,SIM_10
148,0.0270627972732158,10.08,SIM_10
149,0.0273617622527887,10.29,SIM_10
150,0.0268835512320173,10.5,SIM_10
151,0.0271867521497965,10.71,SIM_10
152,0.0271631924506375,10.92,SIM_10
153,0.0266254398607781,11.13,SIM_10
154,0.025624627302581,11.34,SIM_10
155,0.0247761079000279,11.55,SIM_10
156,0.0237224486174752,11.76,SIM_10
157,0.0230072139153772,11.97,SIM_10
158,0.0225538173882601,12.18,SIM_10
159,0.0206120919096072,12.39,SIM_10
160,0.0197706581771988,12.6,SIM_10
161,0.0188999537248868,12.81,SIM_10
162,0.0184716291407231,13.02,SIM_10
163,0.0179654059842974,13.23,SIM_10
164,0.0175009269959263,13.44,SIM_10
165,0.016754446067141,13.65,SIM_10
166,0.017005316443314,13.86,SIM_10
167,0.0167429233447266,14.07,SIM_10
168,0.016057750844195,14.28,SIM_10
169,0.0168209654685113,14.49,SIM_10
170,0.0165028280162182,14.7,SIM_10
171,0.0170531448559909,14.91,SIM_10
172,0.0178370302840659,15.12,SIM_10
173,0.0190227346547946,15.33,SIM_10
174,0.018918958218722,15.54,SIM_10
175,0.0187933497045336,15.75,SIM_10
176,0.0190634863839668,15.96,SIM_10
177,0.0195630446013413,16.17,SIM_10
178,0.0190517025530347,16.38,SIM_10
179,0.0191143118287224,16.59,SIM_10
180,0.019921121067145,16.8,SIM_10
181,0.0198375901588957,17.01,SIM_10
182,0.0204289500000698,17.22,SIM_10
