,MSD,taus,experiment
1,0.00776465829145728,0.21,180509_QuickCap_I1atI1Minus_02.csv
2,0.0134931767676768,0.42,180509_QuickCap_I1atI1Minus_02.csv
3,0.0183130253807107,0.63,180509_QuickCap_I1atI1Minus_02.csv
4,0.0213838775510204,0.84,180509_QuickCap_I1atI1Minus_02.csv
5,0.0234932615384615,1.05,180509_QuickCap_I1atI1Minus_02.csv
6,0.0261647680412371,1.26,180509_QuickCap_I1atI1Minus_02.csv
7,0.0287490259067357,1.47,180509_QuickCap_I1atI1Minus_02.csv
8,0.0306145833333333,1.68,180509_QuickCap_I1atI1Minus_02.csv
9,0.0334509214659686,1.89,180509_QuickCap_I1atI1Minus_02.csv
10,0.0347706105263158,2.1,180509_QuickCap_I1atI1Minus_02.csv
11,0.0365916031746032,2.31,180509_QuickCap_I1atI1Minus_02.csv
12,0.037773085106383,2.52,180509_QuickCap_I1atI1Minus_02.csv
13,0.0404068770053476,2.73,180509_QuickCap_I1atI1Minus_02.csv
14,0.0420317903225806,2.94,180509_QuickCap_I1atI1Minus_02.csv
15,0.0431792378378378,3.15,180509_QuickCap_I1atI1Minus_02.csv
16,0.043553527173913,3.36,180509_QuickCap_I1atI1Minus_02.csv
17,0.0456488469945355,3.57,180509_QuickCap_I1atI1Minus_02.csv
18,0.0470957967032967,3.78,180509_QuickCap_I1atI1Minus_02.csv
19,0.0492525193370166,3.99,180509_QuickCap_I1atI1Minus_02.csv
20,0.0508390222222222,4.2,180509_QuickCap_I1atI1Minus_02.csv
21,0.0512768379888268,4.41,180509_QuickCap_I1atI1Minus_02.csv
22,0.0512582696629213,4.62,180509_QuickCap_I1atI1Minus_02.csv
23,0.0511773276836158,4.83,180509_QuickCap_I1atI1Minus_02.csv
24,0.0508826306818182,5.04,180509_QuickCap_I1atI1Minus_02.csv
25,0.0502099428571429,5.25,180509_QuickCap_I1atI1Minus_02.csv
26,0.0483790689655172,5.46,180509_QuickCap_I1atI1Minus_02.csv
27,0.0478811676300578,5.67,180509_QuickCap_I1atI1Minus_02.csv
28,0.047758761627907,5.88,180509_QuickCap_I1atI1Minus_02.csv
29,0.0485274093567251,6.09,180509_QuickCap_I1atI1Minus_02.csv
30,0.0494001294117647,6.3,180509_QuickCap_I1atI1Minus_02.csv
31,0.0496587218934911,6.51,180509_QuickCap_I1atI1Minus_02.csv
32,0.0502720416666667,6.72,180509_QuickCap_I1atI1Minus_02.csv
33,0.0497517005988024,6.93,180509_QuickCap_I1atI1Minus_02.csv
34,0.0502629638554217,7.14,180509_QuickCap_I1atI1Minus_02.csv
35,0.0507295151515152,7.35,180509_QuickCap_I1atI1Minus_02.csv
36,0.0514952317073171,7.56,180509_QuickCap_I1atI1Minus_02.csv
37,0.0514087423312883,7.77,180509_QuickCap_I1atI1Minus_02.csv
38,0.0519529320987654,7.98,180509_QuickCap_I1atI1Minus_02.csv
39,0.0522645403726708,8.19,180509_QuickCap_I1atI1Minus_02.csv
40,0.0536490625,8.4,180509_QuickCap_I1atI1Minus_02.csv
41,0.053939358490566,8.61,180509_QuickCap_I1atI1Minus_02.csv
42,0.0522836329113924,8.82,180509_QuickCap_I1atI1Minus_02.csv
43,0.0513206878980892,9.03,180509_QuickCap_I1atI1Minus_02.csv
44,0.0505430641025641,9.24,180509_QuickCap_I1atI1Minus_02.csv
45,0.0492180129032258,9.45,180509_QuickCap_I1atI1Minus_02.csv
46,0.0501375064935065,9.66,180509_QuickCap_I1atI1Minus_02.csv
47,0.0477264575163399,9.87,180509_QuickCap_I1atI1Minus_02.csv
48,0.0464271513157895,10.08,180509_QuickCap_I1atI1Minus_02.csv
49,0.0442890198675497,10.29,180509_QuickCap_I1atI1Minus_02.csv
50,0.04358684,10.5,180509_QuickCap_I1atI1Minus_02.csv
51,0.0423047852348993,10.71,180509_QuickCap_I1atI1Minus_02.csv
52,0.042855722972973,10.92,180509_QuickCap_I1atI1Minus_02.csv
53,0.0434417959183673,11.13,180509_QuickCap_I1atI1Minus_02.csv
54,0.0451945273972603,11.34,180509_QuickCap_I1atI1Minus_02.csv
55,0.0456805034482759,11.55,180509_QuickCap_I1atI1Minus_02.csv
