,MSD,taus,experiment
1,0.00757949757044203,0.21,SIM_1
2,0.0106790472445544,0.42,SIM_1
3,0.0124483220168361,0.63,SIM_1
4,0.0143545843686569,0.84,SIM_1
5,0.0158800317787929,1.05,SIM_1
6,0.0166364073392373,1.26,SIM_1
7,0.0179670049406127,1.47,SIM_1
8,0.0197141533917554,1.68,SIM_1
9,0.0220545995914962,1.89,SIM_1
10,0.0245680337641006,2.1,SIM_1
11,0.0257818542526842,2.31,SIM_1
12,0.0267096177307379,2.52,SIM_1
13,0.0284682503610548,2.73,SIM_1
14,0.0304730070565731,2.94,SIM_1
15,0.0327769701191777,3.15,SIM_1
16,0.0342619935560948,3.36,SIM_1
17,0.0363302963291011,3.57,SIM_1
18,0.0379049749161436,3.78,SIM_1
19,0.04012552426329,3.99,SIM_1
20,0.0405364572759456,4.2,SIM_1
21,0.0431724477565076,4.41,SIM_1
22,0.0443892088510184,4.62,SIM_1
23,0.045005765688335,4.83,SIM_1
24,0.0452358537138482,5.04,SIM_1
25,0.0461530806145216,5.25,SIM_1
26,0.0462938209544327,5.46,SIM_1
27,0.0476735098254758,5.67,SIM_1
28,0.050000904923108,5.88,SIM_1
29,0.05302743958027,6.09,SIM_1
30,0.0539942818556493,6.3,SIM_1
31,0.0556972719146763,6.51,SIM_1
32,0.0555637894267097,6.72,SIM_1
33,0.0563353156610258,6.93,SIM_1
34,0.0578733989169811,7.14,SIM_1
35,0.0598933930378728,7.35,SIM_1
36,0.0617255085096548,7.56,SIM_1
37,0.0626614536196235,7.77,SIM_1
38,0.063585649256138,7.98,SIM_1
39,0.0639313236902688,8.19,SIM_1
40,0.0633483521666243,8.4,SIM_1
41,0.0637237607078365,8.61,SIM_1
42,0.0640282645320836,8.82,SIM_1
43,0.0634871986507937,9.03,SIM_1
44,0.0631526257474558,9.24,SIM_1
45,0.0634177419474505,9.45,SIM_1
46,0.0618189014824902,9.66,SIM_1
47,0.0615255391676881,9.87,SIM_1
48,0.0596299047920643,10.08,SIM_1
49,0.0591905470329217,10.29,SIM_1
50,0.0568759087721896,10.5,SIM_1
51,0.0551977687115365,10.71,SIM_1
52,0.0535691753615378,10.92,SIM_1
53,0.0522620765640595,11.13,SIM_1
54,0.0525471392058521,11.34,SIM_1
55,0.0517144326762874,11.55,SIM_1
56,0.0511806567907906,11.76,SIM_1
57,0.0502116815701857,11.97,SIM_1
58,0.0477139842827044,12.18,SIM_1
59,0.0463443775621322,12.39,SIM_1
60,0.0442739985175121,12.6,SIM_1
61,0.0437638203250992,12.81,SIM_1
62,0.0443058569239319,13.02,SIM_1
63,0.044282128431203,13.23,SIM_1
64,0.0427884309346429,13.44,SIM_1
65,0.0420768371040957,13.65,SIM_1
66,0.0415223369399642,13.86,SIM_1
67,0.0409688989429585,14.07,SIM_1
68,0.041624453900248,14.28,SIM_1
69,0.042919916052164,14.49,SIM_1
70,0.0442099768224992,14.7,SIM_1
71,0.0442623100895695,14.91,SIM_1
72,0.0446722648949939,15.12,SIM_1
73,0.0442560248674643,15.33,SIM_1
74,0.0437046384156936,15.54,SIM_1
75,0.0433828084502648,15.75,SIM_1
76,0.0426102168539378,15.96,SIM_1
77,0.0429677646094448,16.17,SIM_1
78,0.0429561394258875,16.38,SIM_1
